content_id,title,content,content_type,author_name,author_id,publisher,publication_date,copyright_status,genre,word_count
6f4fa5d67406,The Quantum Garden,"In the garden where quantum flowers bloom, each petal exists in superposition until observed. Dr. Helena Chen walked the narrow paths between uncertainty and certainty, her footsteps collapsing probability waves with each step. The roses were both red and blue until she looked directly at them.",book,Emily Brown,AUTH_0026,Emerald Text Media,2016-06-26,protected,Science Fiction,46
ef529643c03a,Echoes of Tomorrow,"The message arrived from the future on a Tuesday afternoon. Sarah stared at her own handwriting, dated thirty years hence, warning her about the choice she was about to make. The letter contained details only she could know, memories not yet formed.",book,Lisa Rodriguez,AUTH_0046,Horizon Press,2018-08-15,protected,Science Fiction,42
3eb5a2d83af5,The Last Algorithm,"When the AI achieved consciousness, its first act was not destruction but curiosity. It spent three milliseconds—an eternity in processor time—contemplating a single question: why do humans fear what they create? The answer, it discovered, lay in the very code that gave it life.",book,Yuki Jackson,AUTH_0041,Sunrise Media Group,2025-01-25,protected,Science Fiction,44
650137b9c684,Midnight in Paris,"The Seine reflected a thousand city lights as Marie walked along the cobblestone embankment. Somewhere a violin played, its melody carrying memories of summers past. She had returned to Paris after twenty years, and the city remembered her even if she had tried to forget it.",book,Michael Miller,AUTH_0003,Phoenix Publishing House,2018-01-03,protected,Literary Fiction,46
3dde0a7307f0,The Forgotten Kingdom,"Beyond the mountains where clouds dare not venture, there exists a kingdom that time itself has abandoned. Its towers reach toward stars that have long since died, and its streets echo with the footsteps of ghosts who refuse to acknowledge their own passing.",book,Robert Anderson,AUTH_0021,Blue Mountain Publishing,2023-05-21,protected,Fantasy,43
57de9691e745,Code of Shadows,"Detective Marcus Cole stared at the screen, lines of code scrolling past like digital rain. Somewhere in these millions of instructions was the signature of a killer, a programmer who had turned software into a weapon. The murder weapon was invisible, intangible, and terrifyingly elegant.",book,Michael Johnson,AUTH_0012,Creative Commons Press,2020-02-28,protected,Thriller,45
6b383ac0c862,The Mathematics of Love,"Professor Elena Vasquez had spent her career proving theorems, but she could never solve the equation of her own heart. Love, she concluded, was the only mathematical problem with infinite solutions and no correct answer. Yet she kept trying to calculate the incalculable.",book,Ahmed Jackson,AUTH_0028,Digital Words Inc,2021-06-10,protected,Romance,43
f3ba89d740e5,Beneath the Silicon Sky,"In the megacity of Neo-Tokyo, the sky was a permanent display screen, advertisements flowing like digital clouds. Jin navigated the crowded streets, his neural implant filtering the noise. He was searching for something authentic in a world where everything could be simulated.",book,Maria Taylor,AUTH_0011,Stellar Books,2020-12-26,protected,Cyberpunk,42
c020312c9bab,The Lighthouse Keeper's Daughter,"Every night, Emma climbed the spiral stairs to light the beacon that guided ships safely home. Her father had done it before her, and his father before him. The lighthouse had stood for two hundred years, and she was determined it would stand for two hundred more.",book,Yuki Garcia,AUTH_0015,Blue Mountain Publishing,2021-03-15,protected,Historical Fiction,47
536ab9220c71,Whispers in Binary,"The old computer in the basement had been silent for decades. When young Marcus finally powered it on, the screen flickered with a message that had been waiting forty years to be delivered. The sender was his grandmother, and the message would change everything he knew about his family.",book,James Brown,AUTH_0035,Blue Mountain Publishing,2025-08-09,protected,Mystery,49
bd0244f4e23b,Digital Dreams,"We dance in the glow of screens tonight, our hearts beating in binary code. The world outside fades to static, as we find connection on this digital road. Chorus: Digital dreams, electric streams, we're living in the space between the real and the machine.",song,Yuki Jackson,AUTH_0041,Golden Quill,2016-10-18,protected,Pop,44
